
3-85-290-0041-06,R* PWA Mainboar
3-85-290-0042-03,R* PWA Keyboard
3-85-290-0043-97,R* PWA Interfac
3-85-290-0044-94,R* PWA - Power
3-85-100-0086-54,R* AC-DC MODULE
3-85-100-0085-57,BATTERY/14.8V/2
3-85-100-0091-39,R* SCC - DISPLA
3-85-100-0070-05,R*SCC- SPO2-OE
3-85-081-0017-95,External Carton
3-00-000-0022-16,R* CIC LABEL [G
3-85-082-0011-86,BUFFER LEFT - P
3-85-082-0012-83,BUFFER RIGHT -
3-85-081-0006-31,ACCESSORY CARTO
3-85-390-0306-03,Assembly Compon
3-85-080-0089-03,R* FRONT PANEL
3-85-080-0098-73,R* DOUBLE SIDED
3-00-160-0197-21,R* M3 THERMAL I
3-09-160-0001-12,R* ACRYLIC FILT
0-00-018-0003-87,R* TIS/M3 S LOK
0-00-056-0069-27,R* MIS/CBL TIE
0-00-000-0271-60,R* SCW/PAN/PHD/
0-00-000-0218-25,R* SCW/PAN/PHD/
0-00-010-0033-19,R* EARTH NUT /
0-00-010-0006-03,R* NUT/M6/BRASS
0-00-000-0280-33,R* SCW/PHD/COMB
3-89-100-0077-42,R* FOOT / SELF
3-85-080-0122-01,R* Keyboard ove
3-85-080-0123-95,R* Keyboard adh
3-85-150-0059-46,R* BACK PANEL -
3-85-150-0060-43,R* CONNECTOR PA
3-85-190-0072-91,R* POWER INLET
3-85-190-0071-94,R* DISPLAY BRAC
3-85-390-0297-30,R* Assy C/F Mai
3-85-390-0299-24,R* Assy C/F Mai
0-00-025-0007-80,R* WSH/TTH/EXT/
3-85-080-0124-92,R*Label - Conne
3-86-080-0062-50,R* LABEL PASS -
0-00-080-0082-19,R* LABEL  MODIF
0-00-080-0221-87,R* LABEL GUARAN
3-85-390-0301-18,R* Assy C/F MB
3-85-390-0298-27,R* Assy C/F Mai
3-85-170-0041-45,R* SpO2 Insulat
3-85-080-0120-07,R* Backpanel La
3-85-080-0125-89,R* LABEL-DISPLA
3-85-080-0126-86,R* FRONT PANEL
3-85-150-0062-37,R* Threaded Foo
0-00-010-0010-88,R* NUT/M3/MS/ZB
3-85-190-0074-85,R* Speaker brac
FM022063001,R* SPRING WASHE
3-85-120-0047-19,R* PWB GROUNDIN
3-85-390-0310-88,R* Assy c/f AC-
3-99-160-0027-75,R* SPACER/DELRY
0-00-000-0073-72,R*SCW/PHD/M3x20
0-00-000-0118-34,R* SCW/PHD/M3*8
0-00-082-0109-78,F-372-Black Ace
3-85-390-0309-91,R* Assy C/F GRO
3-85-390-0334-16,R* GROUNDING CA
0-00-080-0313-05,R*RoHS Label on
3-85-390-0305-06,Accessory Kit -
3-86-100-0020-24,R* SP02 PROBE D
3-89-100-0042-50,R* C/F-MP506-SE
3-86-080-0176-96,R* LABEL - PROB	
3-86-100-0213-27,R*LICENCE / WIN
3-86-390-0837-25,Internal CO2 As
3-99-100-0050-74,R*SCC-CO2 MODUL
3-09-390-0065-12,R* Assy C/F Mic
3-09-042-0001-94,R*SPRING CO2 CO
3-09-150-0003-82,R* LEVER CO2 CO
0-00-056-0250-66,R* MIS/CCLR-1/L
0-00-056-0252-60,R* MIS/PMKN-XO/
0-00-056-0263-27,R* MIS/PMK220-1
0-00-000-0218-25,R* SCW/PAN/PHD/
3-86-080-0062-50,R* LABEL PASS -
3-89-100-0026-01,R*FILTERLINE Hs
