
3-85-290-0041-06,4340
3-85-290-0043-97,1483
3-85-100-0085-57,1265
3-85-100-0091-39,4756
3-85-100-0070-05,6300
3-86-100-0020-24,2300
3-89-100-0042-50,1479
3-99-100-0050-74,58379
3-89-100-0105-55,2151
3-86-290-0122-20,2050
3-86-100-0202-60,4844
3-86-290-0120-26,6849
3-89-100-0114-28,4287
3-85-100-0070-05,6300
3-86-290-0109-59,2584
3-86-100-0203-57,3784
3-86-100-0201-63,5064
3-86-100-0020-24,2300
3-89-100-0042-50,1479
3-86-100-0204-54,1375
3-86-290-0109-59,2584
3-89-290-0068-80,7000
3-86-100-0202-60,4844
3-89-100-0101-67,1047
3-15-290-0018-30,1940
3-89-100-0114-28,4287
3-89-100-0116-22,3158
