
COMETPLUS
3-85-290-0041-06,R* PWA Mainboar,1
3-85-290-0042-03,R* PWA Keyboard,1
3-85-290-0043-97,R* PWA Interfac,1
3-85-290-0044-94,R* PWA - Power,1
3-85-100-0086-54,R* AC-DC MODULE,1
3-85-100-0085-57,BATTERY/14.8V/2,1
3-85-100-0091-39,R* SCC - DISPLA,1
3-85-100-0070-05,R*SCC- SPO2-OE,1
3-85-081-0017-95,External Carton,1
3-00-000-0022-16,R* CIC LABEL [G,1
3-85-082-0011-86,BUFFER LEFT - P,1
3-85-082-0012-83,BUFFER RIGHT -,1
3-85-081-0006-31,ACCESSORY CARTO,1
3-85-390-0306-03,Assembly Compon,1
3-85-080-0089-03,R* FRONT PANEL,1
3-85-080-0098-73,R* DOUBLE SIDED,1
3-00-160-0197-21,R* M3 THERMAL I,8
3-09-160-0001-12,R* ACRYLIC FILT,1
0-00-018-0003-87,R* TIS/M3 S LOK,6
0-00-056-0069-27,R* MIS/CBL TIE,2
0-00-000-0271-60,R* SCW/PAN/PHD/,12
0-00-000-0218-25,R* SCW/PAN/PHD/,13
0-00-010-0033-19,R* EARTH NUT /,1
0-00-010-0006-03,R* NUT/M6/BRASS,1
0-00-000-0280-33,R* SCW/PHD/COMB,4
3-89-100-0077-42,R* FOOT / SELF,2
3-85-080-0122-01,R* Keyboard ove,1
3-85-080-0123-95,R* Keyboard adh,1
3-85-150-0059-46,R* BACK PANEL -,1
3-85-150-0060-43,R* CONNECTOR PA,1
3-85-190-0072-91,R* POWER INLET,1
3-85-190-0071-94,R* DISPLAY BRAC,2
3-85-390-0297-30,R* Assy C/F Mai,1
3-85-390-0299-24,R* Assy C/F Mai,1
0-00-025-0007-80,R* WSH/TTH/EXT/,1
3-85-080-0124-92,R*Label - Conne,1
3-86-080-0062-50,R* LABEL PASS -,7
0-00-080-0082-19,R* LABEL, MODIF,1
0-00-080-0221-87,R* LABEL GUARAN,5
3-85-390-0301-18,R* Assy C/F MB,1
3-85-390-0298-27,R* Assy C/F Mai,1
3-85-170-0041-45,R* SpO2 Insulat,1
3-85-080-0120-07,R* Backpanel La,1
3-85-080-0125-89,R* LABEL-DISPLA,1
3-85-080-0126-86,R* FRONT PANEL,1
3-85-150-0062-37,R* Threaded Foo,2
0-00-010-0010-88,R* NUT/M3/MS/ZB,2
3-85-190-0074-85,R* Speaker brac,1
FM022063001,R* SPRING WASHE,2
3-85-120-0047-19,R* PWB GROUNDIN,1
3-85-390-0310-88,R* Assy c/f AC-,1
3-99-160-0027-75,R* SPACER/DELRY,2
0-00-000-0073-72,R*SCW/PHD/M3x20,2
